教师,论文标题,年份,期刊/会议,引用数,发表场所,类型
丁春涛,SeFA: Seed-Filter Adaptation of Robust CNN Services for IoT Devices,2026,IEEE Transactions on Services Computing,0,IEEE Transactions on Services Computing,journal
丁春涛,GroupNL: Low-Resource and Robust CNN Design over Cloud and Device,2026,IEEE Transactions on Mobile Computing,0,IEEE Transactions on Mobile Computing,journal
丁春涛,NL2Filter: A Robust CNN Design for Visual Services Over Cloud and Device,2026,IEEE Transactions on Services Computing,0,IEEE Transactions on Services Computing,journal
丁春涛,RML: A Robust Multi-hop Localization algorithm for irregular networks,2025,Computer Communications,0,Computer Communications,journal
丁春涛,Resource-Aware CNN Framework for Visual Services on IoT Devices,2025,,0,,
丁春涛,GroupNL: Low-Resource and Robust CNN Design over Cloud and Device,2025,ArXiv.org,0,ArXiv.org,repository
丁春涛,Rml: A Robust Multi-Hop Localization Algorithm for Irregular Networks,2025,SSRN Electronic Journal,0,SSRN Electronic Journal,repository
丁春涛,A Resource-Efficient Multiple Recognition Services Framework for IoT Devices,2024,IEEE Transactions on Services Computing,1,IEEE Transactions on Services Computing,journal
丁春涛,Cooperative Localization Using Expected Minimum Segment for Irregular Multi-Hop Networks,2024,IEEE Transactions on Networking,0,IEEE Transactions on Networking,journal
丁春涛,LoRA-C: Parameter-Efficient Fine-Tuning of Robust CNN for IoT Devices,2024,arXiv (Cornell University),1,arXiv (Cornell University),repository
丁春涛,Multi-Task Learning Network Optimization Based on Weight Adaptive,2024,,0,,
丁春涛,Multi-Vision Services Acceleration Framework for IoT Devices,2024,,0,,
丁春涛,Representative Kernels-Based CNN for Faster Transmission in Federated Learning,2024,IEEE Transactions on Mobile Computing,1,IEEE Transactions on Mobile Computing,journal
丁春涛,SECaaS-Based Partially Observable Defense Model for IIoT Against Advanced Persistent Threats,2024,IEEE Transactions on Services Computing,5,IEEE Transactions on Services Computing,journal
丁春涛,ADNet: A Neural Network for Accelerometer Signals Denoising,2024,,0,,
丁春涛,Adaptive partitioning and efficient scheduling for distributed DNN training in heterogeneous IoT environment,2023,Computer Communications,8,Computer Communications,journal
