导师,关键词,来源,频率
丁春涛,边缘智能,官网研究方向,1
于恒,计算语言学,官网研究方向,1
于恒,大语言模型,官网研究方向,1
付艳,具身智能,官网研究方向,1
付艳,机器学习,官网研究方向,1
何珺,图像处理,官网研究方向,1
余乐军,计算机视觉,官网研究方向,1
余先川,机器学习,官网研究方向,1
侯赛辉,计算机视觉,官网研究方向,1
党德鹏,智能教育,官网研究方向,1
党德鹏,AI+X,官网研究方向,1
别荣芳,量子随机游走,官网研究方向,1
别荣芳,数据挖掘与知识工程,官网研究方向,1
吴昊,计算教育学理论,官网研究方向,1
吴昊,图像处理,官网研究方向,1
姜文斌,强化学习,官网研究方向,1
姜文斌,大语言模型,官网研究方向,1
孙波,数据与知识工程,官网研究方向,1
孙波,图像处理,官网研究方向,1
尹乾,虚拟现实,官网研究方向,1
尹乾,计算智能,官网研究方向,1
崔振,金融人工智能,官网研究方向,1
崔振,计算机视觉,官网研究方向,1
常亮,计算机图形学,官网研究方向,1
常亮,计算机视觉,官网研究方向,1
张婷,机器学习,官网研究方向,1
张婷,计算机视觉（视觉表征学习,官网研究方向,1
张家才,类脑计算与混合智能,官网研究方向,1
张少魁,智能计算,官网研究方向,1
张少魁,计算机图形学,官网研究方向,1
张立保,模式识别,官网研究方向,1
张立保,计算机视觉,官网研究方向,1
张钟军,合成孔径雷达遥感(SAR),官网研究方向,1
张鸿文,情感计算,官网研究方向,1
张鸿文,虚拟数字人和人形智能体的运动捕捉,官网研究方向,1
徐鹏飞,模式识别,官网研究方向,1
徐鹏飞,人工智能教育,官网研究方向,1
曾文艺,人工智能,官网研究方向,1
曾文艺,模糊信息处理,官网研究方向,1
朱倩男,推荐系统,官网研究方向,1
朱林,人工智能,官网研究方向,1
朱林,教育人工智能,官网研究方向,1
李健,大模型推理优化,官网研究方向,1
李健,大模型基础研究,官网研究方向,1
李嘉,媒体智能,官网研究方向,1
李嘉,机器学习,官网研究方向,1
林定移,教育技术学,官网研究方向,1
栾华,知识图谱,官网研究方向,1
栾华,数据库,官网研究方向,1
樊亚春,多模态大模型,官网研究方向,1
武仲科,医学影像分析,官网研究方向,1
武仲科,计算机图形学,官网研究方向,1
段福庆,计算机视觉,官网研究方向,1
王一凯,虚拟手术,官网研究方向,1
王一凯,多模态感知,官网研究方向,1
王兵,智能媒体计算,官网研究方向,1
王学松,体数据可视化,官网研究方向,1
王川,量子计算,官网研究方向,1
王志春,自然语言处理,官网研究方向,1
王慎玲,可视化,官网研究方向,1
王慎玲,可计算性理论,官网研究方向,1
王晶,自然语言处理,官网研究方向,1
王玫,计算机视觉,官网研究方向,1
王立志,脑连接组学,官网研究方向,1
王立志,图像视频处理,官网研究方向,1
王胜灵,信息安全,官网研究方向,1
王醒策,模式识别,官网研究方向,1
王醒策,虚拟现实,官网研究方向,1
田沄,文物三维数字化,官网研究方向,1
田沄,医学人工智能（心血管AI）,官网研究方向,1
申佳丽,未成年人心理学,官网研究方向,1
申佳丽,计算机图形图像技术,官网研究方向,1
白璐,结构模式识别,官网研究方向,1
白璐,图机器学习,官网研究方向,1
石红薇,计算机网络,官网研究方向,1
肖明忠,计算机网络,官网研究方向,1
肖融,计算摄像学,官网研究方向,1
胡晓雁,并行与高性能计算,官网研究方向,1
胡晓雁,人工智能,官网研究方向,1
范超琼,医学影像处理,官网研究方向,1
范超琼,强化学习,官网研究方向,1
蔺东辉,人工智能教育,官网研究方向,1
计卫星,概率分布学习,官网研究方向,1
计卫星,计算机体系结构,官网研究方向,1
赵世凤,计算机教育应用,官网研究方向,1
赵志文,视频处理,官网研究方向,1
赵志文,网络信息安全,官网研究方向,1
邓擎琼,计算摄像学,官网研究方向,1
邓擎琼,颅骨面貌复原,官网研究方向,1
郑新,计算机图形学,官网研究方向,1
郭宇,AI4Science,官网研究方向,1
郭宇,人工智能安全,官网研究方向,1
郭小娟,区块链技术及教育应用,官网研究方向,1
郭小娟,智能信息处理,官网研究方向,1
郭建伟,生物反馈中的机器学习方法,官网研究方向,1
郭建伟,计算机图形学,官网研究方向,1
钟方威,量子人工智能,官网研究方向,1
钟方威,具身智能,官网研究方向,1
钟瑶瑶,教育人工智能,官网研究方向,1
陈彦起,机器学习,官网研究方向,1
骆岩林,AI4Science,官网研究方向,1
骆岩林,虚拟现实,官网研究方向,1
骆祖莹,课堂教学智能评价,官网研究方向,1
高建花,计算机体系结构,官网研究方向,1
魏云刚,教育数字化技术,官网研究方向,1
魏云刚,人工智能与教育,官网研究方向,1
黄华,模式识别,官网研究方向,1
黄华,图像,官网研究方向,1
黄永祯,图深度学习,官网研究方向,1
黄永祯,计算机视觉,官网研究方向,1
黄源飞,视觉知识,官网研究方向,1
黄源飞,SAR目标检测,官网研究方向,1
黄石生,代码分析与优化,官网研究方向,1
黄石生,计算机图形学,官网研究方向,1
龙志颖,认知计算,官网研究方向,1
龙志颖,神经影像数据的信息挖掘与建模,官网研究方向,1
