教师,期刊/会议,类型,论文数,总引用
丁春涛,IEEE Transactions on Mobile Computing,journal,7,112
丁春涛,arXiv (Cornell University),repository,5,3
丁春涛,IEEE Transactions on Services Computing,journal,4,6
丁春涛,IEEE Transactions on Cloud Computing,journal,3,156
丁春涛,Computer Communications,journal,2,8
丁春涛,ArXiv.org,repository,1,0
丁春涛,SSRN Electronic Journal,repository,1,0
丁春涛,IEEE Transactions on Networking,journal,1,0
丁春涛,IEEE Transactions on Parallel and Distributed Systems,journal,1,21
丁春涛,IEEE Internet of Things Journal,journal,1,5
丁春涛,EURASIP Journal on Wireless Communications and Networking,journal,1,12
丁春涛,The Journal of Supercomputing,journal,1,5
丁春涛,Future Generation Computer Systems,journal,1,14
丁春涛,Sensors,journal,1,10
丁春涛,"Lecture notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering",journal,1,3
丁春涛,Computers in Biology and Medicine,journal,1,17
丁春涛,Pattern Recognition,journal,1,46
于恒,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,journal,8,69
于恒,arXiv (Cornell University),repository,4,9
于恒,SSRN Electronic Journal,repository,3,8
于恒,IEEE Transactions on Computers,journal,3,47
于恒,Pattern Recognition,journal,2,16
于恒,Proceedings of the AAAI Conference on Artificial Intelligence,conference,2,45
于恒,ArXiv.org,repository,2,0
于恒,Lecture notes in computer science,book series,2,8
于恒,Molecular Catalysis,journal,2,17
于恒,Annals of Vascular Surgery,journal,2,7
于恒,ACM Transactions on Design Automation of Electronic Systems,journal,1,1
于恒,Spectrochimica Acta Part A Molecular and Biomolecular Spectroscopy,journal,1,4
于恒,IEEE Journal on Emerging and Selected Topics in Circuits and Systems,journal,1,0
于恒,The Visual Computer,journal,1,7
于恒,Science China Physics Mechanics and Astronomy,journal,1,54
于恒,IET conference proceedings.,journal,1,0
于恒,Sustainable Computing Informatics and Systems,journal,1,0
于恒,IEEE Transactions on Neural Networks and Learning Systems,journal,1,36
于恒,"Proceedings on CD-ROM - International Society for Magnetic Resonance in Medicine. Scientific Meeting and Exhibition/Proceedings of the International Society for Magnetic Resonance in Medicine, Scientific Meeting and Exhibition",journal,1,1
于恒,Infrared Physics & Technology,journal,1,15
于恒,IEEE Signal Processing Letters,journal,1,11
于恒,"ICASSP 2022 - 2022 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",conference,1,3
于恒,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,journal,1,8
于恒,Industrial Management & Data Systems,journal,1,56
于恒,ACM Transactions on Embedded Computing Systems,journal,1,5
于恒,Journal of Semiconductors,journal,1,22
于恒,Journal of Vascular Surgery,journal,1,5
于恒,Microporous and Mesoporous Materials,journal,1,5
于恒,Sensors,journal,1,48
于恒,International Journal of Computers Communications & Control,journal,1,1
于恒,"Design, Automation, and Test in Europe",conference,1,12
于恒,"Design, Automation &amp; Test in Europe Conference &amp; Exhibition (DATE), 2014",conference,1,0
于恒,Annales de Chirurgie Vasculaire,journal,1,0
于恒,ERSA,journal,1,0
于恒,Asia and South Pacific Design Automation Conference,conference,1,22
于恒,International Journal of Angiology,journal,1,0
付艳,Springer series in geomechanics and geoengineering,book series,3,1
付艳,Translational Psychiatry,journal,2,12
付艳,International Journal of Computational Science and Engineering,journal,2,0
付艳,Transactions of Nonferrous Metals Society of China,journal,2,58
付艳,SSRN Electronic Journal,repository,1,0
付艳,Nature Human Behaviour,journal,1,4
付艳,Journal of Ethnopharmacology,journal,1,6
付艳,Scientific Reports,journal,1,4
付艳,IET Image Processing,journal,1,8
付艳,Journal of Central South University,journal,1,4
付艳,Theoretical and Applied Fracture Mechanics,journal,1,9
付艳,Metals,journal,1,14
付艳,ACS Omega,journal,1,25
付艳,Lecture notes on data engineering and communications technologies,book series,1,0
付艳,E3S Web of Conferences,journal,1,0
付艳,Virtual Reality,journal,1,1
付艳,bioRxiv (Cold Spring Harbor Laboratory),repository,1,1
付艳,Minerals Engineering,journal,1,40
付艳,China Journal of Chinese Materia Medica,journal,1,0
付艳,The International Journal of Aging and Human Development,journal,1,8
付艳,"Proceedings of SPIE, the International Society for Optical Engineering/Proceedings of SPIE",journal,1,0
付艳,Hydrometallurgy,journal,1,26
付艳,Lecture notes in computer science,book series,1,8
付艳,Computers & Mathematics with Applications,journal,1,64
付艳,Cement and Concrete Research,journal,1,4
何珺,"Proceedings of SPIE, the International Society for Optical Engineering/Proceedings of SPIE",journal,23,32
何珺,arXiv (Cornell University),repository,22,77
何珺,Lecture notes in computer science,book series,9,31
何珺,Journal of Electronic Imaging,journal,5,84
何珺,SSRN Electronic Journal,repository,4,4
何珺,Thermal Science,journal,4,16
何珺,Communications in computer and information science,book series,3,9
何珺,Structural Safety,journal,3,135
何珺,Journal of Shanghai Jiaotong University (Science),journal,3,16
何珺,Lecture notes in electrical engineering,book series,3,3
何珺,Scientific Reports,journal,2,1
何珺,Neurocomputing,journal,2,8
何珺,Research Square,repository,2,0
何珺,Earthquake Spectra,journal,2,13
何珺,The Visual Computer,journal,2,5
何珺,Neural Computing and Applications,journal,2,64
何珺,Neural Networks,journal,2,81
何珺,"2022 IEEE 10th International Conference on Information, Communication and Networks (ICICN)",conference,2,1
何珺,Journal on Multimodal User Interfaces,journal,2,58
何珺,Sustainable innovations in education and technology,conference,2,1
何珺,Acta Physica Sinica,journal,2,3
何珺,International Journal of Numerical Methods for Heat &amp Fluid Flow,journal,2,8
何珺,Natural Hazards,journal,2,43
何珺,Earthquake Engineering and Engineering Vibration,journal,2,11
何珺,Modern Electronics Technique,journal,2,0
何珺,Research and Exploration in Laboratory,journal,2,0
何珺,Journal of Zhejiang Education Institute,journal,2,0
何珺,APS March Meeting Abstracts,journal,2,1
何珺,Journal of Education and Educational Research,journal,1,0
何珺,European journal of medical research,journal,1,1
何珺,Aerospace,journal,1,0
何珺,BMC Microbiology,journal,1,0
何珺,Frontiers in Earth Science,journal,1,0
何珺,Journal of Structural Engineering,journal,1,0
何珺,Ageing Research Reviews,journal,1,3
何珺,Behavioral Sciences,journal,1,4
何珺,Applied Sciences,journal,1,1
何珺,Computers & Geosciences,journal,1,2
何珺,Frontiers in Neurology,journal,1,4
何珺,The Journal of Supercomputing,journal,1,0
何珺,ArXiv.org,repository,1,0
何珺,Optics Express,journal,1,1
何珺,Journal of Cancer,journal,1,0
何珺,Sustainability,journal,1,2
何珺,Journal of Forensic Science and Medicine,journal,1,0
何珺,International Journal of Academic Research in Business and Social Sciences,journal,1,2
何珺,Journal of Physics D Applied Physics,journal,1,3
何珺,Frontiers in Business Economics and Management,journal,1,6
何珺,Energies,journal,1,3
何珺,IEEE Transactions on Human-Machine Systems,journal,1,1
何珺,International Journal of Education and Humanities,journal,1,0
何珺,"Advances in economics, business and management research/Advances in Economics, Business and Management Research",book series,1,0
何珺,Electronics,journal,1,6
何珺,Frontiers in Immunology,journal,1,11
何珺,HERD Health Environments Research & Design Journal,journal,1,12
