教师,年份,论文数,总引用
丁春涛,2014,3,49
丁春涛,2015,1,17
丁春涛,2017,1,3
丁春涛,2018,4,31
丁春涛,2019,2,68
丁春涛,2020,3,167
丁春涛,2021,1,10
丁春涛,2022,5,63
丁春涛,2023,10,49
丁春涛,2024,8,8
丁春涛,2025,4,0
丁春涛,2026,3,0
于恒,1991,1,0
于恒,2002,1,0
于恒,2008,3,39
于恒,2009,1,0
于恒,2010,4,37
于恒,2011,1,3
于恒,2012,2,34
于恒,2013,2,13
于恒,2014,2,12
于恒,2017,2,11
于恒,2018,4,66
于恒,2019,7,42
于恒,2020,7,146
于恒,2021,4,22
于恒,2022,5,58
于恒,2023,8,53
于恒,2024,10,71
于恒,2025,16,69
付艳,1995,1,4
付艳,2004,1,64
付艳,2005,1,8
付艳,2009,1,26
付艳,2010,1,10
付艳,2011,1,48
付艳,2012,1,0
付艳,2014,1,8
付艳,2015,1,0
付艳,2019,2,40
付艳,2020,2,2
付艳,2021,3,25
付艳,2022,2,23
付艳,2023,2,12
付艳,2024,7,14
付艳,2025,4,16
付艳,2026,1,0
何珺,1992,1,1
何珺,2000,2,0
何珺,2002,7,108
何珺,2003,3,0
何珺,2004,6,11
何珺,2005,4,6
何珺,2006,8,37
何珺,2007,7,0
何珺,2008,12,61
何珺,2009,13,75
何珺,2010,14,95
何珺,2011,7,6
何珺,2012,11,67
何珺,2013,6,3
何珺,2014,20,190
何珺,2015,20,194
何珺,2016,16,245
何珺,2017,14,291
何珺,2018,9,79
何珺,2019,17,102
何珺,2020,13,242
何珺,2021,20,151
何珺,2022,28,193
何珺,2023,17,202
何珺,2024,14,16
何珺,2025,28,17
何珺,2026,2,0
余先川,2004,1,5
余先川,2005,2,0
余先川,2006,6,22
余先川,2007,3,4
余先川,2008,9,31
余先川,2009,7,6
余先川,2010,2,1
余先川,2011,3,6
余先川,2012,5,53
余先川,2013,4,8
余先川,2014,5,40
余先川,2015,4,20
余先川,2017,3,387
余先川,2018,4,77
余先川,2019,4,33
余先川,2020,2,6
余先川,2021,4,63
余先川,2022,1,58
余先川,2023,4,29
余先川,2024,4,12
余先川,2025,1,0
侯赛辉,2016,4,66
侯赛辉,2017,2,232
侯赛辉,2018,3,281
侯赛辉,2019,2,1175
侯赛辉,2020,2,751
侯赛辉,2021,1,49
侯赛辉,2022,8,168
侯赛辉,2023,16,529
侯赛辉,2024,16,121
侯赛辉,2025,16,29
党德鹏,2025,1,1
党德鹏,2026,1,0
别荣芳,2003,1,39
别荣芳,2005,2,1
别荣芳,2006,14,344
别荣芳,2007,10,53
别荣芳,2008,7,43
别荣芳,2009,4,18
别荣芳,2010,2,10
别荣芳,2011,1,8
别荣芳,2012,10,190
别荣芳,2013,12,147
别荣芳,2014,29,490
别荣芳,2015,16,468
别荣芳,2016,34,1632
别荣芳,2017,22,489
别荣芳,2018,23,380
别荣芳,2019,13,463
别荣芳,2020,10,52
别荣芳,2021,5,15
别荣芳,2022,11,86
别荣芳,2023,4,23
别荣芳,2024,8,31
别荣芳,2025,4,2
吴昊,1999,1,34
吴昊,2007,1,0
吴昊,2008,2,21
吴昊,2009,2,1
吴昊,2010,2,4
吴昊,2011,1,0
吴昊,2012,4,202
吴昊,2013,2,1
吴昊,2015,1,43
吴昊,2016,10,202
吴昊,2017,14,186
吴昊,2018,7,121
吴昊,2019,6,294
吴昊,2020,6,174
吴昊,2021,16,122
吴昊,2022,16,312
吴昊,2023,16,99
吴昊,2024,19,136
吴昊,2025,25,34
吴昊,2026,3,0
姜文斌,1994,1,2
姜文斌,2004,2,0
姜文斌,2005,3,5
姜文斌,2006,4,5
姜文斌,2007,3,7
姜文斌,2008,6,58
姜文斌,2009,4,42
姜文斌,2010,6,37
姜文斌,2011,3,54
姜文斌,2012,8,34
姜文斌,2013,6,26
姜文斌,2014,10,49
姜文斌,2015,11,178
姜文斌,2016,15,79
姜文斌,2018,4,46
姜文斌,2019,3,80
姜文斌,2020,5,20
姜文斌,2021,8,71
姜文斌,2022,7,42
姜文斌,2023,13,75
姜文斌,2024,8,18
姜文斌,2025,6,3
孙波,2001,1,0
孙波,2003,2,0
孙波,2004,4,0
孙波,2005,9,343
孙波,2006,6,148
孙波,2007,11,237
孙波,2008,7,25
孙波,2009,19,53
孙波,2010,13,47
孙波,2011,8,7
孙波,2012,11,13
孙波,2013,8,6
孙波,2014,19,161
孙波,2015,12,124
孙波,2016,16,246
孙波,2017,17,247
孙波,2018,8,52
孙波,2019,21,210
孙波,2020,10,395
孙波,2021,19,110
孙波,2022,12,57
孙波,2023,12,46
孙波,2024,20,31
孙波,2025,24,50
尹乾,2008,2,11
尹乾,2009,4,5
尹乾,2010,1,2
尹乾,2011,2,7
尹乾,2012,2,2
尹乾,2013,1,0
尹乾,2014,4,39
尹乾,2015,3,11
尹乾,2016,10,183
尹乾,2017,13,53
尹乾,2018,9,369
尹乾,2019,12,175
尹乾,2020,8,98
尹乾,2021,8,115
尹乾,2022,11,75
尹乾,2023,3,21
尹乾,2024,3,16
尹乾,2025,4,0
崔振,2021,18,581
崔振,2022,19,330
崔振,2023,23,335
崔振,2024,24,111
崔振,2025,16,9
张婷,1999,1,2
张婷,2001,1,0
张婷,2002,2,11
张婷,2004,1,0
